,Area,equivalent_diameter,orientation,MajorAxisLength,MinorAxisLength,Perimeter,MinIntensity,MeanIntensity,MaxIntensity
99,187.75,15.461265295053533,75.48870017958615,17.196047325771584,14.138392966097559,61.8700576850888,106.0,169.06391478029295,239.0
100,100.25,11.297887606083718,34.3624587493571,12.463801852558166,10.459305502406872,40.798989873223334,106.0,148.02992518703243,193.0
101,490.75,24.9968459326128,39.91484498259007,42.402801126887645,20.380974315452452,139.01828996322962,106.0,162.62353540499237,255.0
102,11.5,3.826519928662906,0.30281277425350467,6.940286051960124,2.128373099352896,14.121320343559642,106.0,122.73913043478261,149.0
103,231.25,17.159156293944243,-55.695480015829816,19.175314220536606,16.85741660067541,87.30508652763321,106.0,155.6972972972973,224.0
104,3.0,1.9544100476116797,0.0,2.23606797749979,1.632993161855452,5.0,107.0,117.33333333333333,125.0
105,232.0,17.186959427966244,61.65318291812088,18.811499772012944,16.013276662310695,72.06244584051392,106.0,169.18103448275863,230.0
106,163.5,14.428259270064393,40.41296192809138,16.96394458504523,13.093610120733327,56.2842712474619,106.0,165.83639143730886,235.0
107,25.0,5.641895835477563,0.38017385453393365,10.850082482955415,3.3465967957111373,24.17462120245875,106.0,148.09,201.0
108,142.5,13.469841688927183,-67.42219801905836,14.754384571380823,12.658767688265764,50.62741699796952,106.0,164.40701754385964,245.0
109,237.5,17.38949084575512,36.04347647716264,24.272226409787493,14.408672756252708,86.56244584051393,106.0,151.92631578947368,231.0
110,148.5,13.750493532712623,49.67818156706996,17.897626048759786,11.149921236901003,50.04163056034261,106.0,173.23569023569024,238.0
111,124.0,12.565098628628435,50.78510297444847,15.08539837535662,11.056223092547858,43.79898987322333,106.0,177.96975806451613,251.0
112,195.25,15.767054928221077,19.693394460965862,17.977419664136683,14.053212904325305,55.45584412271571,106.0,161.5134443021767,233.0
113,201.5,16.017420774398584,67.24615523098046,16.923097563653773,15.510692979734358,64.62741699796953,106.0,163.1017369727047,240.0
114,9.75,3.523362819972964,59.65558602098865,4.6011059014044315,2.9743769937846367,11.82842712474619,107.0,111.33333333333333,120.0
115,169.5,14.690612745308144,28.06999220136767,16.59120273271587,13.495986981826272,59.99137802864844,106.0,159.01917404129793,217.0
116,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,107.0,112.66666666666667,122.0
117,130.0,12.865501965161373,-32.599335522738045,13.374130243901277,12.442295493285876,42.50609665440987,106.0,163.52307692307693,236.0
118,82.25,10.233472165128859,48.909614157266965,16.868391803471837,6.739612782694632,46.21320343559643,106.0,147.04255319148936,214.0
119,180.0,15.138795132120961,39.94127165713438,19.242942778313026,14.020294554801987,77.64823227814082,106.0,159.71805555555557,233.0
120,252.25,17.921346912535476,-85.47968359290344,18.52626891517415,17.498625407061684,60.40559159102155,106.0,161.43111992071357,228.0
121,144.75,13.575766059431594,-9.777312074667316,14.575998289919001,12.722407165956112,44.798989873223334,106.0,156.6286701208981,214.0
122,3.0,1.9544100476116797,0.0,3.415650255319866,1.0,6.0,108.0,114.41666666666667,126.0
123,2.25,1.692568750643269,45.00001609038752,1.632993161855452,1.632993161855452,4.0,108.0,114.11111111111111,119.0
124,29.0,6.076507779746499,-12.099145828208135,7.291669966155766,5.17779407496892,20.071067811865476,107.0,135.26724137931035,182.0
125,270.5,18.558321498747173,52.872425393179604,20.92180277360377,16.67724844104589,65.99137802864846,106.0,168.3308687615527,229.0
126,277.5,18.79691393990002,48.59771813751755,21.689903785126315,16.597146014868795,68.698484809835,106.0,163.75315315315316,237.0
127,123.75,12.552425807826008,53.326351164842485,13.655728350066958,11.738283213469911,43.50609665440987,107.0,163.86868686868686,239.0
128,187.25,15.440663999700893,34.07131957565556,15.976968830137473,15.132704117671627,56.04163056034261,106.0,160.6995994659546,220.0
